Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.59492E-13,0.000000001,0,0.455144855,0,0
3.91656E-13,0.000000003,0,0.44965035,0,0
1.63983E-12,0.00000001,0.000000002,0.440659341,0,0
5.38318E-12,0.000000025,0.000000005,0.436063936,0,0
2.22462E-11,0.000000102,0.000000022,0.429070929,0,0
5.26906E-11,0.000000252,0.000000052,0.424975025,0,0
1.68294E-10,0.000001017,0.000000166,0.416983017,0,0
3.55454E-10,0.00000253,0.000000351,0.410789211,0,0
1.51865E-9,0.000010027,0.000001499,0.401298701,0,0
3.36242E-9,0.000025097,0.000003319,0.394505495,0,0
5.564E-9,0.000050483,0.000005492,0.388811189,0,0
9.35793E-9,0.000100155,0.000009236,0.382217782,0,0
2.18961E-8,0.000250767,0.000021612,0.372327672,0,0
4.36368E-8,0.000502779,0.000043069,0.364235764,0,0
8.09631E-8,0.001003421,0.000079909,0.355744256,0,0
1.9088E-7,0.002511293,0.000188384,0.343956044,0,0
3.17099E-7,0.005028493,0.000312933,0.334365634,0,0
6.14289E-7,0.010027435,0.00060613,0.323176823,0,0
1.23735E-6,0.025001693,0.001220538,0.306393606,0,0
2.00488E-6,0.050162974,0.001976891,0.290809191,0,0
3.30282E-6,0.100303736,0.003254627,0.271528472,0,0
6.02803E-6,0.200158239,0.0059321,0.24965035,0,0
8.45696E-6,0.300562361,0.008312419,0.235764236,0,0
1.07046E-5,0.400405148,0.010509985,0.225174825,0,0
1.26623E-5,0.500800532,0.012420106,0.216483516,0,0
1.5169E-5,0.600182115,0.014860494,0.209390609,0,0
1.80239E-5,0.701793407,0.017632598,0.203296703,0,0
1.90444E-5,0.751607057,0.018621603,0.200599401,0,0
2.00311E-5,0.800458697,0.019576885,0.198101898,0,0
2.23725E-5,0.900003056,0.021840043,0.193406593,0,0
2.45749E-5,1.000899028,0.02396401,0.189110889,0,0
2.65982E-5,1.100357907,0.025911228,0.185214785,0,0
2.8971E-5,1.200910097,0.028189926,0.181618382,0,0
